epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,190.31,1.40502,2.50602,1.62413,0.79863,0.7448,0.79541,0.50829,1.21227,1.03216,1.55847,0.000138647,0.000138647,0.000138647
2,361.779,1.30249,1.30887,1.50446,0.85053,0.8057,0.85585,0.55784,1.21186,0.8357,1.57002,0.00027215,0.00027215,0.00027215
3,530.425,1.29135,1.21911,1.49668,0.83252,0.76871,0.82382,0.5225,1.25188,0.97061,1.558,0.000400148,0.000400148,0.000400148
4,699.528,1.27089,1.13222,1.48667,0.9001,0.85079,0.90174,0.59019,1.18499,0.73965,1.54314,0.00039223,0.00039223,0.00039223
5,866.511,1.23139,1.01193,1.43407,0.85478,0.84203,0.87596,0.57611,1.16189,0.70404,1.4869,0.000383974,0.000383974,0.000383974
6,1034.22,1.20815,0.97281,1.43481,0.89931,0.85676,0.91066,0.59726,1.16639,0.64462,1.48289,0.000375717,0.000375717,0.000375717
7,1201.34,1.1828,0.93598,1.41444,0.91914,0.87226,0.91509,0.62419,1.11982,0.57755,1.43689,0.00036746,0.00036746,0.00036746
8,1368.95,1.16217,0.87277,1.39587,0.92139,0.85188,0.91696,0.62496,1.10354,0.60503,1.42603,0.000359204,0.000359204,0.000359204
9,1537.28,1.13447,0.85006,1.37982,0.87558,0.89671,0.91627,0.6365,1.09849,0.59472,1.43325,0.000350947,0.000350947,0.000350947
10,1704.62,1.11663,0.8074,1.36367,0.90659,0.88975,0.92057,0.64392,1.09719,0.55151,1.43198,0.000342691,0.000342691,0.000342691
11,1872.54,1.11229,0.78832,1.3496,0.9216,0.88381,0.92497,0.65122,1.06319,0.54434,1.39682,0.000334434,0.000334434,0.000334434
12,2039.43,1.09553,0.77467,1.34115,0.91838,0.86112,0.90412,0.63583,1.07832,0.55931,1.4047,0.000326177,0.000326177,0.000326177
13,2207.65,1.08496,0.74951,1.32826,0.9128,0.8955,0.91553,0.64319,1.05724,0.51834,1.41076,0.000317921,0.000317921,0.000317921
14,2376.12,1.0648,0.7344,1.34352,0.921,0.89614,0.92144,0.66065,1.03748,0.50348,1.40557,0.000309664,0.000309664,0.000309664
15,2544.96,1.04966,0.71499,1.34477,0.91129,0.89719,0.9183,0.65615,1.03487,0.50103,1.42072,0.000301408,0.000301408,0.000301408
16,2712.83,1.04138,0.71013,1.33849,0.91924,0.88498,0.91793,0.65867,1.04111,0.50929,1.40316,0.000293151,0.000293151,0.000293151
17,2880.69,1.02443,0.6891,1.31151,0.91965,0.89552,0.92069,0.67103,1.01854,0.48867,1.3743,0.000284894,0.000284894,0.000284894
18,3048.45,1.01584,0.6836,1.29883,0.90922,0.89557,0.92651,0.67508,1.01706,0.50227,1.33719,0.000276638,0.000276638,0.000276638
19,3215.51,1.01442,0.65461,1.29038,0.9087,0.89488,0.92632,0.67152,1.02025,0.49075,1.36141,0.000268381,0.000268381,0.000268381
20,3382.21,0.99626,0.65795,1.29914,0.91151,0.90782,0.928,0.67522,1.02158,0.4645,1.41721,0.000260125,0.000260125,0.000260125
