epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,134.432,1.40632,2.51983,1.50641,0.82149,0.73771,0.81442,0.51446,1.25709,1.02504,1.49659,0.000138647,0.000138647,0.000138647
2,261.649,1.29016,1.26804,1.39047,0.8142,0.80069,0.83008,0.50642,1.33445,1.01597,1.55115,0.00027215,0.00027215,0.00027215
3,388.027,1.28085,1.1793,1.39377,0.78372,0.82502,0.84695,0.53339,1.28182,0.89309,1.50037,0.000400148,0.000400148,0.000400148
4,513.838,1.26167,1.10562,1.3822,0.87598,0.84057,0.87851,0.54677,1.28754,0.85466,1.48277,0.00039223,0.00039223,0.00039223
5,639.875,1.216,0.99525,1.34711,0.84205,0.83757,0.87137,0.57337,1.18722,0.75525,1.41616,0.000383974,0.000383974,0.000383974
6,766.236,1.19734,0.94022,1.33622,0.87443,0.86073,0.88614,0.58481,1.19649,0.73339,1.42091,0.000375717,0.000375717,0.000375717
7,891.623,1.17289,0.91372,1.32699,0.91207,0.86384,0.91394,0.60561,1.18165,0.66093,1.40008,0.00036746,0.00036746,0.00036746
8,1017.91,1.14121,0.84087,1.30273,0.895,0.86119,0.91476,0.61956,1.12734,0.65398,1.37152,0.000359204,0.000359204,0.000359204
9,1144.31,1.11429,0.80809,1.28333,0.89313,0.85213,0.89727,0.60914,1.14096,0.66859,1.38558,0.000350947,0.000350947,0.000350947
10,1271.21,1.09606,0.7847,1.27077,0.90991,0.88868,0.92234,0.63185,1.11818,0.59473,1.35678,0.000342691,0.000342691,0.000342691
11,1399.44,1.0856,0.76184,1.26576,0.92637,0.88811,0.92305,0.64259,1.10511,0.58332,1.34965,0.000334434,0.000334434,0.000334434
12,1526.93,1.06871,0.74237,1.25705,0.91524,0.88511,0.91424,0.64105,1.10334,0.60225,1.3546,0.000326177,0.000326177,0.000326177
13,1652.24,1.05239,0.72616,1.24572,0.91413,0.8903,0.91357,0.63745,1.10753,0.61432,1.35727,0.000317921,0.000317921,0.000317921
14,1777.38,1.03646,0.70898,1.23976,0.93155,0.87885,0.91642,0.64272,1.07484,0.5862,1.30352,0.000309664,0.000309664,0.000309664
15,1902.85,1.02324,0.67845,1.2279,0.91066,0.89317,0.90726,0.63687,1.06549,0.56246,1.31271,0.000301408,0.000301408,0.000301408
