epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,161.422,1.39081,2.53021,1.50628,0.81412,0.78616,0.82833,0.52748,1.22571,0.96089,1.45094,0.000138647,0.000138647,0.000138647
2,293.189,1.30426,1.23885,1.40603,0.75197,0.8005,0.83922,0.52484,1.25655,0.94639,1.48083,0.00027215,0.00027215,0.00027215
3,425.844,1.30597,1.18591,1.41296,0.81171,0.83403,0.86314,0.53656,1.26404,0.91231,1.48826,0.000400148,0.000400148,0.000400148
4,557.585,1.28705,1.11316,1.40369,0.85962,0.85171,0.88242,0.57344,1.21885,0.77153,1.44997,0.00039223,0.00039223,0.00039223
5,690,1.23008,0.98987,1.35921,0.87492,0.84149,0.87962,0.57378,1.21702,0.76185,1.4519,0.000383974,0.000383974,0.000383974
6,822.869,1.22543,0.95925,1.35967,0.89985,0.85306,0.9015,0.59254,1.21161,0.71601,1.42623,0.000375717,0.000375717,0.000375717
7,959.655,1.19415,0.9131,1.3471,0.90579,0.85895,0.90737,0.60908,1.18906,0.65501,1.41282,0.00036746,0.00036746,0.00036746
8,1095.99,1.15714,0.86142,1.31873,0.91749,0.86737,0.90067,0.62152,1.12154,0.6506,1.3631,0.000359204,0.000359204,0.000359204
9,1230.82,1.13603,0.82358,1.30092,0.85295,0.88717,0.90516,0.62378,1.11262,0.60809,1.38156,0.000350947,0.000350947,0.000350947
10,1363.31,1.11913,0.79999,1.29018,0.90582,0.89428,0.92217,0.64319,1.10344,0.57815,1.35567,0.000342691,0.000342691,0.000342691
11,1494.73,1.11105,0.76698,1.28306,0.92012,0.87506,0.91648,0.64,1.10014,0.61387,1.35519,0.000334434,0.000334434,0.000334434
12,1625.62,1.09402,0.7446,1.27117,0.92153,0.88439,0.92214,0.64618,1.0891,0.57335,1.35756,0.000326177,0.000326177,0.000326177
13,1758.69,1.08001,0.73721,1.26211,0.9028,0.90618,0.923,0.64822,1.0971,0.57359,1.36659,0.000317921,0.000317921,0.000317921
14,1891.57,1.06376,0.71308,1.25674,0.92208,0.88997,0.92496,0.6477,1.07886,0.56733,1.34984,0.000309664,0.000309664,0.000309664
15,2023.15,1.04468,0.69294,1.24833,0.91146,0.89039,0.9231,0.6603,1.06193,0.55331,1.32292,0.000301408,0.000301408,0.000301408
16,2155.87,1.03926,0.69049,1.24474,0.90777,0.89774,0.93302,0.65509,1.06906,0.5374,1.33176,0.000293151,0.000293151,0.000293151
17,2288.53,1.02295,0.66986,1.23327,0.91403,0.90352,0.93087,0.64876,1.09824,0.53684,1.34331,0.000284894,0.000284894,0.000284894
18,2421.22,1.00793,0.6615,1.22585,0.94509,0.88803,0.93624,0.67534,1.04747,0.50335,1.31202,0.000276638,0.000276638,0.000276638
19,2554.37,1.00833,0.6433,1.22392,0.92558,0.89833,0.93517,0.67452,1.04266,0.50179,1.316,0.000268381,0.000268381,0.000268381
20,2686.24,0.98911,0.64748,1.21739,0.93471,0.88408,0.93185,0.66555,1.05439,0.52436,1.32323,0.000260125,0.000260125,0.000260125
21,2818.58,0.98638,0.63208,1.21026,0.93457,0.8883,0.93666,0.67225,1.05893,0.50935,1.31914,0.000251868,0.000251868,0.000251868
22,2952.97,0.96983,0.61442,1.20164,0.92894,0.90401,0.93903,0.67809,1.03534,0.49688,1.29373,0.000243611,0.000243611,0.000243611
23,3088.18,0.95547,0.60036,1.19259,0.92724,0.90488,0.94431,0.6746,1.04372,0.50908,1.30664,0.000235355,0.000235355,0.000235355
